Prompt,Response
"null
Ankita updated the message timer. New messages will disappear from this chat 90 days after they're sent, except when kept. Tap to change.
Ankita turned off disappearing messages. Tap to change.
null
Tu aaygi
..",Han kaha hai
"Hii
Kkrha",Hy
"Kya KR rhi h
null
hii
sun na
null
Hii",Bol
"Yrr ucertify wala meeting koi join Kiya h
Kuch ho rha h usme ya nhi
Mai chordu kya ?",Mujhe ni pta
Rahul to dikh rha h,Acha to raho fir ya rahul ko msg kr le
Tu bta na,thode der wait kr le
Richa h,Hn
"Ok
Kkrh","Kuch ni
Happy Happy Birthday 🎈🎉🎂🥳
null"
"Thanku so much baby
Happy Holi baby",Same to you 😌
"Hii
Kidhr h tu","Clg
Or tu"
"Ok
Sessional de rhi h kya
Sunna","Han
Hy
Kaha hai"
"Hostel
Tu","Gate pass
Pad lete aana
Jldi
Thik hai
Answers hai
Match kr lena question de
Se"
Hello di,Hyy
Kaisi hai,"Thik hu
Tu bta
Kesi hai"
"Di , college chorne par admission fees wapas krte n ??
Bilkul bhi thik ni",Qq kya hua
Mainu corna hai,"Kya kese
Kyu
Kya hua
Bolo"
"Bhut problem face ho rhi fees ki aur papa mummy sabko log tension me  , nhi pdha Jayega mere , etna tension leke pdhne ka kya mtlb",Are to clg chord dogi to fees wapas ni milta hai
Hm,"Are college mt chodo
Ab jaise bhi ho kro complete
College chord degi to gharwale or tension lengy
Loan k liye apply kr do
Education loan mil jaega"
"Mummy papa to boli rh, but o log etna presan krte fees ke liye ki mere se kuch ni ho pata , faltu ka toucher krke ke tension dete
Maine kiya tha but bank manager nhi diya bol rha ni milega",Are college walo ki bato ko itna seriously mt liya kro
Yha pe,Qq
Bol rha iit sector hota JEE main exam cleae rhega tab mlega,"Achchaa
Kon sa bank me apply ki thi"
Up Baroda,"Ohh
Me to kahungi ki college mt chodo"
Ok di,"Or college walo ki bato itna Mt socha kro
Sb ho jaega"
Di aapko hostel.e room mil Gaya,"Nii
Or qq"
Room 212 to bhr gys hai,"Han pta hai
Me hostel chord ri hu"
"Jyoti bol rhi khali hi ni dikh rha koi room
Oo","Han pta hai sb room bhr gy hai
Mere saman 311 me rkh di hai warden"
Mera bhi,"Ek bar Jyoti ko kehna ja kr dekh lene k liye
Tmra qq"
Hm maun bhi kal sman uske apne rkhne ko bolungi,"Tmra qq hta di saman
Tum fees pay kr di thi na"
"Hn
Tohi to dimag khrab hai","Koi ni jane do
Ab kya hi kr skte hai"
"Main to pagl ho jaunhoy
Jaungi
Di, Ravindr ...ka number bhej dijiyega",ok
Di aap new wala hostel bhi ni le rhe,nahi
College dean name?,"Puneet sir
Qq
Kya hua"
Pura name hai,Puneet garg
Ni mera friend puchA,Oh okk
Di 5 am morning ko Anand Vihar se metro milegi Gurgaon ke liye,"Han mil jaegi
5:15 tk me mil jaegi"
Hm,Okk
Di aap aai thi sman lene to pad dekhi bda wala 2 packets gayab ho gya hai 🤦‍♀️,"Han wo me le aayi glti se
Me kl aaungi to de dungi
Thik hai"
"O thank god
Mujhe lga ki koi aur le gya",Room mil gya tmhe
"Jab aaiyega to lete aaiega
Ni",Ok
Pura pagal hi college wla,To abhi kha reh ri ho
Ek bad diye hi aaj sone ke liye baki kal pta lgega,"Oh
Ok
null
null
Hy
Kaha ho
null"
I miss you di,Miss u too
"Di koi hostel ka dekhe to use bottle de dijiyega
Main room pe hu","Ankita ko de di hu bottle
Le lena usse"
"Ok di
Ye kya hai di
Smjh ni aa rga","Isme exam date calendar hai
Kbse kon se exam start hongy
Reappear or is sem ka bhi"
"Acha
Back wala exam bhi",Hnn
Form to bhra hi ni,Aaega usk liye bhi form
"O ok
Happy Diwali di 🥰","Same to you Laxmi 🥰🤩
Hy Laxmi"
"Hm di boliye
Room me",null
Sorry 😔 di ni aa paungi,It's okk
Wish you many more happy returns of the day May be God bless you 💞🎁 happy birthday di 🥳🎈,Thank you Laxmi ❣️❣️
Hello di,Hy
Kal aap free ho,"Hn
Q kya hua"
Kal main n Faruk ngr aaungi kuch sman lene to aap bhi aaoge,Mko kl clg aana hai
"O
Kab",Clg me kam ho jaega to chl lengy yhi se sth me
"Kitne bje se wsi
Wpsi",10-11 bje tk me
Di kitna time lgna,"Tum aa jao farukhnagar
Me clg ni gyi hu"
"🤣
Main wait kr rhi thi",Sorry
Aa rhi,Okk
Ok ni,"Pahuch jao farukhnagar to cl krna
Thik hai"
"Ok
Hello di",Hello
Mujhe aap 250  udhar dedo ge kya 3 din me waps kr dungi,Ruko dekhne do hai mre pass hai ya nhi
"Urgent tha
Ok",Nhi hai laxmi
"Koi ni
scientific calculator hai
Di aapke pas","Han hai
Monday ko de dungi
Aaungi toh"
"Ok
Suniyega di
Mera Maggie lete aayengi aap","Kitne
Okk"
Happy new year 🍾,Same to you ☺️
Di Aap kbtk college aaoge,"null
null
null"
Kaha ho di,C block
"Ok
Happy anniversary both of you 🎉",Thankyou
"Enko bhi happy Birthday 🎈🙂‍↕
..",??
Ankita di,null
Hello di,Hy
Di mujhe doctor ke pass jana hai aap kal chl logi kya sath,Kya ho gya
Pta ni kyu left side sine ke pass haddi me pain ho rha 4/5 din ho gye ab jyada hi dukh rha shas bhi le rhi to,"Thik hai
Aa jana
Chal lengy"
"Ok
Di main nikl rhi aap plezz call kr lena mere me balance ni 😀
Vrna vhi ghumti rh jaungi mai","Laxmi normal cl ni lg rh tera
null
null"
"Hn di abhi niki ni
9235434247","Nikal gayi laxmi
Clg se"
"Wait di batati
College Wale me dimag khrab hai",Ok
Hn di nikl gi gate pe ja rhi,Okk
Aa gyi room pe di,"Okk
Back aa gyi
M3"
Hn,"Koi bat nhi tension mt lo jada
Ek me hi hai na
Agli bar or ache se paper dena
Ho jaega clear
Or M3 me mass back lgi hogi
Hai na"
"Bee me bhi jo bhut shi sara kiya
Syd
Meri to puri ummid hi khtm hogi hi
Di aap College aaye ho",Han
Di aapka koi rohtak ka friend hai,Nahi
null,null
null,"null
null"
null,"null
null
null"
"null
null
null
null
null
ek yah bhi bil banana hai",Iska taxi bill banana hai
Nahin Jaise format hai vaisa hi format banana hai bus,ok
Pen se likha hua hai usko hatana hai,"thik hai
Bhaiya wo teeno bill sahi hai na
Koi mistake ni hai na"
"Kya hua
Bolo",Kuch ni bs puch rahe the wo bill wla kam ho gaya
Nhi kar raha hun,Okk
"addable
Meaning kya hai
Relatable
Yeah iska meaning","something is capable of being added or added to.
Relatable to wo jisse relate kr skte hai
Milta julta jo kehte hai
Or aadable me jo jisme add kr skte hai"
"situation will change us..☺️
 Relatable
Yeah meaning sahi hai kya??","Han
Sahi hai"
